Date,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,XOM,WMT,SPY
2019-01-01,100.52070172147974,99.9193850270228,100.66420425983063,101.50027069402125,99.82889241403137,99.82890790082647,101.55416936821504,100.77816978227791,99.6071620378971
2019-01-02,101.08789683662911,99.53255987342861,100.27230496856514,101.78347816856864,98.08935466851062,98.26411044623494,101.06655161605909,99.86820912637093,99.95333511291612
2019-01-03,100.27439548426773,98.26223870254816,101.72149259436966,101.61736221272095,98.20105190226609,96.99857166349739,100.59829341902638,100.02293683132204,98.92159445747988
2019-01-04,100.68133154005983,97.75499602514019,101.49224251569426,101.09177982989172,99.98491362286047,97.0347067923497,99.64768993956807,100.85379026190463,97.83590857632423
2019-01-07,100.93068267887327,96.00950199169641,100.2765820498882,101.3306547734524,100.73538861233537,97.2405683786837,99.58863892805407,100.61754885646073,96.5268254243689
2019-01-08,100.29662874524918,95.64032477504911,101.3339050610431,101.71104153992474,99.12067037341673,97.58758673228884,99.27655153643788,100.02602205510999,97.13490165573944
2019-01-09,101.32914832596578,96.53390640852291,100.583798355279,101.46501756656204,99.48114669471502,98.54056937475804,98.8774925240739,99.90063682470303,96.17282834657074
2019-01-10,100.240372064067,97.32656326990504,101.93205442605466,101.44671171335622,100.47918989415004,98.9273234962015,98.32573818660387,100.29250112792647,97.6295239988374
2019-01-11,100.25655976027087,98.82557708262077,99.4895082418191,102.28877100031575,100.61216328978497,98.69754971578631,98.4602470775021,98.47573442476393,97.47580988040067
2019-01-14,100.64574688257773,100.26545658488202,99.05299406984528,101.56107636294924,100.18635476587339,99.60475033023485,98.8159757685987,98.03302418700112,97.99869524955966
2019-01-15,100.78849289222597,101.237988771711,98.44728451811793,101.29775395649065,99.86576413919099,98.28593565006794,99.14241614699571,98.32429457439903,98.05244439571294
2019-01-16,100.61562374764176,99.9430049614,98.10580093189378,101.02074492236721,99.16113150246346,98.18534170418425,99.57143089945352,100.14247533781612,98.26344515039487
2019-01-17,100.91122537933248,99.92267384684385,96.39128701652051,101.04594945129533,99.26720354047643,100.5477143594333,99.44031797146131,100.47845032966916,98.2803483692759
2019-01-18,99.85291010726338,101.05806836192961,97.12714692413866,101.85496684649624,98.46708562204266,101.94032008977587,98.18087073617376,101.08771024294074,100.3859194061889
2019-01-21,98.97215181084526,100.56902174795948,97.26726803605416,101.42225151334246,97.08335545268712,102.0574004086805,97.24889021676469,101.59187749852605,99.56734108436984
2019-01-22,100.4825438360017,99.87737938041028,97.02021266715045,102.25600534452515,96.00875348850688,102.32813897848708,98.50673375510517,100.11047209944526,99.79108353965118
2019-01-23,100.77997556795457,100.66828040879247,95.94079180992749,101.0385758446104,96.53168087628882,102.66702040991802,98.78955136948372,100.48896546476051,99.20150706846779
